epoch,logged_epoch,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/BrownSpot,val/AP/Healthy,val/AP/Hispa,val/AP/LeafBlast,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
1299,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1349,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1399,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1449,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1494,4.0,1298.720703125,1298.8984375,1298.792236328125,1298.1446533203125,1298.9163818359375,14.664690971374512,22.503646850585938,0.039523955434560776,0.06247052922844887,0.05332321301102638,0.04382983222603798,0.10613124072551727,0.7009550929069519,0.8022444248199463,0.780207633972168,0.7248847484588623,0.7622284293174744,0.04974353313446045,0.07900874316692352,0.06746966391801834,0.05546697974205017,0.12901943922042847,0.026918156072497368,0.030061878263950348,0.028035566210746765,0.027380410581827164,0.034288860857486725,0.023050833493471146,0.02624831162393093,0.023635193705558777,0.023354778066277504,0.02967027761042118,,,,0.6557915210723877,0.7025075554847717,0.7124630808830261,0.6586021184921265,0.6791990995407104,0.8080750107765198,0.7724364995956421,0.9561286568641663,0.7429052591323853,0.7253958582878113,23.500246047973633,0.773658037185669,0.6823410391807556,0.7418696284294128,0.9213126301765442,0.6693358421325684,0.7030397653579712,0.7114595174789429,0.6975579857826233
1499,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1549,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1599,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1649,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1699,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1749,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1793,5.0,1298.8072509765625,1298.90966796875,1298.77294921875,1297.762939453125,1298.90966796875,14.310707092285156,22.02045440673828,0.04045776277780533,0.06294872611761093,0.05604223534464836,0.044606029987335205,0.09501494467258453,0.6859124302864075,0.7749592065811157,0.7718364000320435,0.7144114375114441,0.743265688419342,0.049822673201560974,0.07925377041101456,0.07022407650947571,0.05605390667915344,0.11806084960699081,0.026090482249855995,0.02887042611837387,0.027192380279302597,0.026162786409258842,0.03375469893217087,0.02239399217069149,0.025847330689430237,0.02326505072414875,0.022291559725999832,0.02940310351550579,,,,0.7166115045547485,0.76821368932724,0.7618844509124756,0.6828176975250244,0.6970838308334351,0.8228545784950256,0.7887522578239441,0.9562904238700867,0.7607036828994751,0.743639349937439,22.04314613342285,0.7668542861938477,0.7323818206787109,0.7396443486213684,0.9509580731391907,0.7324803471565247,0.6865831017494202,0.70524662733078,0.6850472092628479
1799,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1849,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1899,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
